Id,Week,Day,Japanese,Pronounciation,Definitions,LastStudied,CorrectStreak
1,1,1,行く,iku,"go, come",06/29/2025 00:00:00,2
2,1,1,見る,miru,"see, look at",06/29/2025 00:00:00,2
3,1,1,多い,ooi,"a lot of, many",06/29/2025 00:00:00,2
4,1,1,家,ie,"home, household",06/29/2025 00:00:00,2
5,1,1,これ,kore,"this, this one",06/29/2025 00:00:00,2
6,1,1,それ,sore,"that, that one",06/29/2025 00:00:00,2
7,1,1,私,watashi,I,06/29/2025 00:00:00,2
8,1,1,仕事,shigoto,"work, job",06/29/2025 00:00:00,2
9,1,1,いつ,itsu,when,06/29/2025 00:00:00,2
10,1,1,する,suru,"do, make",06/29/2025 00:00:00,2
11,1,2,出る,deru,"go out, leave",06/29/2025 00:00:00,2
12,1,2,使う,tsukau,"use, make use of",06/29/2025 00:00:00,1
13,1,2,所,tokoro,place,06/29/2025 00:00:00,2
14,1,2,作る,tsukuru,"make, create",06/29/2025 00:00:00,2
15,1,2,思う,omou,think,06/29/2025 00:00:00,2
16,1,2,持つ,motsu,"have, possess",06/29/2025 00:00:00,2
17,1,2,買う,kau,buy,06/29/2025 00:00:00,2
18,1,2,時間,jikan,"time, hour",06/29/2025 00:00:00,2
19,1,2,知る,shiru,know,06/29/2025 00:00:00,2
20,1,2,同じ,onaji,"same, identical",06/29/2025 00:00:00,2
21,1,3,今,ima,now,06/29/2025 00:00:00,1
22,1,3,新しい,atarashii,new,06/29/2025 00:00:00,1
23,1,3,なる,naru,become,06/29/2025 00:00:00,1
24,1,3,まだ,mada,"not yet, still",06/29/2025 00:00:00,1
25,1,3,あと,ato,after,06/29/2025 00:00:00,1
26,1,3,聞く,kiku,"hear, ask",06/29/2025 00:00:00,1
27,1,3,言う,iu,"say, tell",06/29/2025 00:00:00,1
28,1,3,少ない,sukunai,"few, little",06/29/2025 00:00:00,1
29,1,3,高い,takai,"high, tall",06/29/2025 00:00:00,1
30,1,3,子供,kodomo,"child, kid",06/29/2025 00:00:00,1
31,1,4,そう,sou,"so, that way",01/01/0001 00:00:00,0
32,1,4,もう,mou,"already, yet",01/01/0001 00:00:00,0
33,1,4,学生,gakusei,student,01/01/0001 00:00:00,0
34,1,4,熱い,atsui,hot (to touch),01/01/0001 00:00:00,0
35,1,4,どうぞ,douzo,please,01/01/0001 00:00:00,0
36,1,4,午後,gogo,"afternoon, p.m.",01/01/0001 00:00:00,0
37,1,4,長い,nagai,long,01/01/0001 00:00:00,0
38,1,4,本,hon,"book, volume",01/01/0001 00:00:00,0
39,1,4,今年,kotoshi,this year (colloquial),01/01/0001 00:00:00,0
40,1,4,よく,yoku,"often, well",01/01/0001 00:00:00,0
41,1,5,彼女,kanojo,"she, one’s girlfriend",01/01/0001 00:00:00,0
42,1,5,どう,dou,"how, what",01/01/0001 00:00:00,0
43,1,5,言葉,kotoba,"word, language",01/01/0001 00:00:00,0
44,1,5,顔,kao,face,01/01/0001 00:00:00,0
45,1,5,終わる,owaru,"finish, end",01/01/0001 00:00:00,0
46,1,5,一つ,hitotsu,one (thing),01/01/0001 00:00:00,0
47,1,5,あげる,ageru,"give, offer (colloquial)",01/01/0001 00:00:00,0
48,1,5,こう,kou,"like this, such",01/01/0001 00:00:00,0
49,1,5,学校,gakkou,school,01/01/0001 00:00:00,0
50,1,5,くれる,kureru,be given,01/01/0001 00:00:00,0
51,1,6,始める,hajimeru,start (something),01/01/0001 00:00:00,0
52,1,6,起きる,okiru,"get up, get out of bed",01/01/0001 00:00:00,0
53,1,6,春,haru,spring,01/01/0001 00:00:00,0
54,1,6,午前,gozen,"morning, a.m.",01/01/0001 00:00:00,0
55,1,6,別,betsu,"another, different",01/01/0001 00:00:00,0
56,1,6,どこ,doko,where,01/01/0001 00:00:00,0
57,1,6,部屋,heya,room,01/01/0001 00:00:00,0
58,1,6,若い,wakai,young,01/01/0001 00:00:00,0
59,1,6,車,kuruma,"car, automobile",01/01/0001 00:00:00,0
60,1,6,置く,oku,"put, place",01/01/0001 00:00:00,0
61,1,7,住む,sumu,"live, reside",01/01/0001 00:00:00,0
62,1,7,働く,hataraku,work,01/01/0001 00:00:00,0
63,1,7,難しい,muzukashii,difficult,01/01/0001 00:00:00,0
64,1,7,先生,sensei,teacher,01/01/0001 00:00:00,0
3001,1,7,ばかり,bakari,"only, nothing but",01/01/0001 00:00:00,0
65,1,7,立つ,tatsu,"stand, rise",01/01/0001 00:00:00,0
66,1,7,呼ぶ,yobu,"call, name",01/01/0001 00:00:00,0
67,1,7,大学,daigaku,"university, college",01/01/0001 00:00:00,0
68,1,7,安い,yasui,"cheap, inexpensive",01/01/0001 00:00:00,0
69,1,7,もっと,motto,more,01/01/0001 00:00:00,0
70,1,7,帰る,kaeru,go back home,01/01/0001 00:00:00,0
71,2,1,分かる,wakaru,understand,01/01/0001 00:00:00,0
72,2,1,広い,hiroi,"wide, big",01/01/0001 00:00:00,0
73,2,1,数,suu,number,01/01/0001 00:00:00,0
74,2,1,近い,chikai,"near, close",01/01/0001 00:00:00,0
75,2,1,そこ,soko,there,01/01/0001 00:00:00,0
76,2,1,走る,hashiru,run,01/01/0001 00:00:00,0
77,2,1,入れる,ireru,put in,01/01/0001 00:00:00,0
78,2,1,教える,oshieru,"teach, tell",01/01/0001 00:00:00,0
79,2,1,歩く,aruku,"walk, go on foot",01/01/0001 00:00:00,0
80,2,1,会う,au,meet,01/01/0001 00:00:00,0
81,2,2,書く,kaku,write,01/01/0001 00:00:00,0
82,2,2,頭,atama,head,01/01/0001 00:00:00,0
83,2,2,売る,uru,sell,01/01/0001 00:00:00,0
84,2,2,大好き,daisuki,like (something) a lot,01/01/0001 00:00:00,0
85,2,2,体,karada,"body, physique",01/01/0001 00:00:00,0
86,2,2,直ぐ,sugu,"at once, soon",01/01/0001 00:00:00,0
87,2,2,飛ぶ,tobu,fly,01/01/0001 00:00:00,0
88,2,2,とても,totemo,very (colloquial),01/01/0001 00:00:00,0
89,2,2,誰,dare,who,01/01/0001 00:00:00,0
90,2,2,好き,suki,"favorite, liked",01/01/0001 00:00:00,0
91,2,3,読む,yomu,read,01/01/0001 00:00:00,0
92,2,3,次,tsugi,next,01/01/0001 00:00:00,0
93,2,3,あなた,anata,you,01/01/0001 00:00:00,0
94,2,3,飲む,nomu,drink,01/01/0001 00:00:00,0
95,2,3,古い,furui,old,01/01/0001 00:00:00,0
96,2,3,質問,shitsumon,question,01/01/0001 00:00:00,0
97,2,3,今日,kyou,today (colloquial),01/01/0001 00:00:00,0
98,2,3,友達,tomodachi,"friend, companion (colloquial)",01/01/0001 00:00:00,0
99,2,3,早い,hayai,early,01/01/0001 00:00:00,0
100,2,3,どれ,dore,"what, which",01/01/0001 00:00:00,0
101,2,4,美しい,utsukushii,beautiful,01/01/0001 00:00:00,0
102,2,4,いつも,itsumo,always (colloquial),01/01/0001 00:00:00,0
103,2,4,足,ashi,"leg, foot",01/01/0001 00:00:00,0
104,2,4,起こす,okosu,wake (someone) up,01/01/0001 00:00:00,0
105,2,4,見せる,miseru,show,01/01/0001 00:00:00,0
106,2,4,娘,musume,"daughter, girl",01/01/0001 00:00:00,0
107,2,4,楽しむ,tanoshimu,enjoy,01/01/0001 00:00:00,0
108,2,4,色,iro,color,01/01/0001 00:00:00,0
109,2,4,みんな,minna,everybody (colloquial),01/01/0001 00:00:00,0
110,2,4,取る,toru,"take, get",01/01/0001 00:00:00,0
111,2,5,勉強,benkyou,study,01/01/0001 00:00:00,0
112,2,5,できる,dekiru,"can do, be good at",01/01/0001 00:00:00,0
113,2,5,短い,mijikai,"short, brief",01/01/0001 00:00:00,0
114,2,5,落ちる,ochiru,"fall, come down",01/01/0001 00:00:00,0
115,2,5,息子,musuko,son,01/01/0001 00:00:00,0
116,2,5,白い,shiroi,"white, blank",01/01/0001 00:00:00,0
117,2,5,飛行機,hikouki,airplane,01/01/0001 00:00:00,0
118,2,5,病気,byouki,illness,01/01/0001 00:00:00,0
119,2,5,冬,fuyu,winter,01/01/0001 00:00:00,0
120,2,5,年,toshi,"year, age",01/01/0001 00:00:00,0
121,2,6,重い,omoi,heavy,01/01/0001 00:00:00,0
122,2,6,胸,mune,"chest, breast",01/01/0001 00:00:00,0
123,2,6,払う,harau,"pay (money, respect, attention, etc.)",01/01/0001 00:00:00,0
124,2,6,軽い,karui,light (of weight),01/01/0001 00:00:00,0
125,2,6,見つける,mitsukeru,find,01/01/0001 00:00:00,0
126,2,6,忘れる,wasureru,"forget, leave behind",01/01/0001 00:00:00,0
127,2,6,酒,sake,"alcohol, rice wine",01/01/0001 00:00:00,0
128,2,6,どちら,dochira,which (polite),01/01/0001 00:00:00,0
129,2,6,姉,ane,(one’s own) older sister,01/01/0001 00:00:00,0
130,2,6,覚える,oboeru,"memorize, learn",01/01/0001 00:00:00,0
131,2,7,狭い,semai,"narrow, small",01/01/0001 00:00:00,0
132,2,7,赤い,akai,red,01/01/0001 00:00:00,0
133,2,7,着る,kiru,"wear, put on",01/01/0001 00:00:00,0
134,2,7,笑う,warau,"laugh, smile",01/01/0001 00:00:00,0
135,2,7,一番,ichiban,"most, best",01/01/0001 00:00:00,0
136,2,7,授業,jugyou,"class session, lecture",01/01/0001 00:00:00,0
137,2,7,週,shuu,week,01/01/0001 00:00:00,0
138,2,7,漢字,kanji,Chinese character,01/01/0001 00:00:00,0
139,2,7,自転車,jitensha,bicycle,01/01/0001 00:00:00,0
140,2,7,電車,densha,train,01/01/0001 00:00:00,0
141,3,1,探す,sagasu,"search for, look for",01/01/0001 00:00:00,0
142,3,1,紙,kami,paper,01/01/0001 00:00:00,0
143,3,1,歌う,utau,sing,01/01/0001 00:00:00,0
144,3,1,遅い,osoi,"slow, late",01/01/0001 00:00:00,0
145,3,1,首,kubi,neck,01/01/0001 00:00:00,0
146,3,1,速い,hayai,fast,01/01/0001 00:00:00,0
147,3,1,一緒に,issho ni,"together, at the same time",01/01/0001 00:00:00,0
148,3,1,今月,kongetsu,this month,01/01/0001 00:00:00,0
149,3,1,遊ぶ,asobu,play,01/01/0001 00:00:00,0
150,3,1,遠い,tooi,"far, distant",01/01/0001 00:00:00,0
151,3,2,弱い,yowai,weak,01/01/0001 00:00:00,0
152,3,2,耳,mimi,ear,01/01/0001 00:00:00,0
153,3,2,座る,suwaru,"sit, sit down",01/01/0001 00:00:00,0
154,3,2,右,migi,right,01/01/0001 00:00:00,0
155,3,2,浴びる,abiru,take (a shower),01/01/0001 00:00:00,0
156,3,2,肩,kata,shoulder,01/01/0001 00:00:00,0
157,3,2,寝る,neru,"lie down and sleep, go to sleep",01/01/0001 00:00:00,0
158,3,2,消す,kesu,"switch off, turn off",01/01/0001 00:00:00,0
159,3,2,元気,genki,"healthy, energetic",01/01/0001 00:00:00,0
160,3,2,全部,zenbu,"all, whole",01/01/0001 00:00:00,0
161,3,3,去年,kyonen,last year (colloquial),01/01/0001 00:00:00,0
162,3,3,引く,hiku,"draw, pull",01/01/0001 00:00:00,0
163,3,3,図書館,toshokan,library,01/01/0001 00:00:00,0
164,3,3,上げる,ageru,"raise, lift",01/01/0001 00:00:00,0
165,3,3,緑,midori,green,01/01/0001 00:00:00,0
166,3,3,腕,ude,arm,01/01/0001 00:00:00,0
167,3,3,ドア,doa,door (loan word),01/01/0001 00:00:00,0
168,3,3,女の子,onna no ko,little girl,01/01/0001 00:00:00,0
169,3,3,男の子,otoko no ko,boy,01/01/0001 00:00:00,0
170,3,3,私たち,watashitachi,we (colloquial),01/01/0001 00:00:00,0
171,3,4,近く,chikaku,"near, close to",01/01/0001 00:00:00,0
172,3,4,やる,yaru,"do, give",01/01/0001 00:00:00,0
173,3,4,かなり,kanari,"fairly, rather",01/01/0001 00:00:00,0
174,3,4,国,kuni,country,01/01/0001 00:00:00,0
175,3,4,起こる,okoru,happen,01/01/0001 00:00:00,0
176,3,4,秋,aki,"autumn, fall",01/01/0001 00:00:00,0
177,3,4,送る,okuru,send,01/01/0001 00:00:00,0
178,3,4,死ぬ,shinu,die,01/01/0001 00:00:00,0
179,3,4,気持ち,kimochi,"feeling, sensation",01/01/0001 00:00:00,0
180,3,4,乗る,noru,"ride, take",01/01/0001 00:00:00,0
181,3,5,いる,iru,"be present, stay",01/01/0001 00:00:00,0
182,3,5,木,ki,"tree, wood",01/01/0001 00:00:00,0
183,3,5,開ける,akeru,"open, unlock (doors, windows, etc.)",01/01/0001 00:00:00,0
184,3,5,閉める,shimeru,"shut, close (doors, windows, etc.)",01/01/0001 00:00:00,0
185,3,5,続く,tsuzuku,"continue, follow",01/01/0001 00:00:00,0
186,3,5,お医者さん,oishasan,doctor (polite),01/01/0001 00:00:00,0
187,3,5,円,en,Japanese yen,01/01/0001 00:00:00,0
188,3,5,ここ,koko,here,01/01/0001 00:00:00,0
189,3,5,待つ,matsu,"wait, wait for",01/01/0001 00:00:00,0
190,3,5,低い,hikui,"low, short",01/01/0001 00:00:00,0
191,3,6,もらう,morau,receive,01/01/0001 00:00:00,0
192,3,6,食べる,taberu,eat,01/01/0001 00:00:00,0
193,3,6,兄,ani,(one’s own) older brother,01/01/0001 00:00:00,0
194,3,6,名前,namae,name,01/01/0001 00:00:00,0
195,3,6,夫,otto,husband,01/01/0001 00:00:00,0
196,3,6,一,ichi,one,01/01/0001 00:00:00,0
197,3,6,結婚,kekkon,marriage,01/01/0001 00:00:00,0
198,3,6,親,oya,parent,01/01/0001 00:00:00,0
199,3,6,話す,hanasu,"speak, talk",01/01/0001 00:00:00,0
200,3,6,少し,sukoshi,"a bit, a little while",01/01/0001 00:00:00,0
201,3,7,閉じる,tojiru,"shut, close (books, eyes, etc.)",01/01/0001 00:00:00,0
202,3,7,時,toki,"time, moment",01/01/0001 00:00:00,0
203,3,7,米,kome,rice (grain),01/01/0001 00:00:00,0
204,3,7,切る,kiru,cut,01/01/0001 00:00:00,0
205,3,7,楽しい,tanoshii,"fun, enjoyable",01/01/0001 00:00:00,0
206,3,7,服,fuku,clothes (colloquial),01/01/0001 00:00:00,0
