Id,Word,Hiragana,Romaji,Definitions,StudyOrder
9df48ac4-5d87-4681-951f-b553a78301ad,どう,どう,dou,"how, in what way",1
7617d8b7-c82b-4c2d-9a02-1136e38d19f3,さあ,さあ,saa,"come now, well",2
68644b80-5b85-44dc-ba01-7f288c7f8735,あの,あの,ano,"that over there, like that, that way, that",3
92ba076a-19a8-491a-8bd6-f4d2c3325a73,ええ,ええ,ee,yes,4
b6caf698-a0ae-4a1a-9b07-7b89c3f67ab2,どれ,どれ,dore,which one,5
bb0a707b-1ba9-4a0b-ba23-14016bbe1767,やる,やる,yaru,"to do, to give",6
9f2568ca-8046-45bb-a84d-8452e6076294,この,この,kono,this,7
761a2db1-c43c-464e-b79f-a995821ca226,よく,よく,yoku,"frequently, often, well, skillfully",8
b3091dc3-0433-4aff-a858-18f92a87b177,どこ,どこ,doko,"where, what place",9
112e1db4-918e-48d9-8390-6752407f365a,なぜ,なぜ,naze,why,10
b3566620-624f-421f-8d16-5cb8e9aa13f6,もう,もう,mou,"already, again, more",11
4f7de3ec-c46c-4758-ada9-840e67b1f87a,ここ,ここ,koko,"here, this place",12
9469261a-5685-4fcf-9c60-e1863f19041f,どの,どの,dono,which,13
ca31a640-043c-4ed9-9af1-cf931942d311,まだ,まだ,mada,"yet, still, besides",14
6b545d3d-5eff-411a-a18e-90c9deb31008,あれ,あれ,are,that one,15
f0df92f3-e0e7-4436-9893-b6c1a14c6117,うち,うち,uchi,"home, house, my place",16
1a7c1cc7-c2d8-450d-9ae5-71ab743a1d7c,なる,なる,naru,to become,17
bb0bccc4-a5d0-4df4-9d25-c343fe54fe17,いつ,いつ,itsu,when,18
a0a1fdd2-1d08-4190-8112-d724dd666aa1,では,では,deha,"then, well, so",19
2d1bd07d-7566-4dcb-a51d-f94bad784a74,でも,でも,demo,"but, however",20
ee66c986-2fac-4ec4-baac-1df01cf7df54,そば,そば,soba,"near, close, beside, buckwheat noodle",21
88e7031b-44a2-4fa3-a17e-510c1db146c9,はく,はく,haku,to put on,22
0d3919d2-d214-4190-a02d-2ece47bc31f0,また,また,mata,"and, furthermore",23
996e4602-2ef2-49d6-87f5-954b7dfdf5ab,~がる,がる,garu,feel,24
1ca83106-1376-4bd8-94cc-5c9905bc474b,たて,たて,tate,"length, height",25
0ceebd70-74fd-4760-b89a-7f92e350132d,どなた,どなた,donata,who,26
436864c8-0e39-4b97-a2a0-61396742e4e3,しかし,しかし,shikashi,"however, but",27
865aa367-2fdd-455e-8c34-ebbc886d6779,どうも,どうも,doumo,"Thank you, somehow",28
84f929de-9d80-4a40-a7bd-0942e5a46e91,どっち,どっち,docchi,"which one, which way",29
dc53eaf4-d05e-4908-af95-0977d29e35ad,いつも,いつも,itsumo,"always, usually, every time",30
8626f77a-b48a-43ea-bb31-fb4b27efb233,とても,とても,totemo,"very, greatly, exceedingly",31
71c7d29e-30ec-4a9e-a3b3-8bf6eedd3788,もっと,もっと,motto,more,32
4933f613-5433-46d5-a30f-fb8afa341246,カメラ,カメラ,kamera,camera,33
e162f73e-0693-4e88-8aa4-3bf4f915d7ca,こんな,こんな,konna,"such, like this",34
6e036291-3661-43ee-9394-83087edc1498,どうぞ,どうぞ,douzo,"please, kindly, by all means",35
f22253bd-e922-4356-856f-ee700aa21749,こっち,こっち,kocchi,"this person, this direction, this side, this way",36
164fbe36-322c-42f2-80f5-fa065543087a,こちら,こちら,kochira,"this person, this way",37
b0798435-998f-4a22-8e59-bc89526d03a7,～など,～など,nado,"et cetera, etc",38
9bb2af7f-eea4-423d-bffe-96e0233cd6c4,マッチ,マッチ,macchi,match,39
de13d021-955d-4d29-b615-f7e31215cbea,まずい,まずい,mazui,"terrible, unappetizing, unpleasant",40
87ec59f2-afae-401a-b600-ce79afe03944,ホテル,ホテル,hoteru,hotel,41
07943eaf-6edc-4114-98d8-6bedea296f7d,ボタン,ボタン,botan,button,42
6bc2370f-3f00-4f49-9dc2-09ef6fda6447,ポスト,ポスト,posuto,"mailbox, post, position",43
f35ccebe-26e3-4b75-b735-f63784cb8227,かかる,かかる,kakaru,"it takes, it takes (amount of time, money)",44
abfe5adc-7053-4e2c-8bc9-d3c62a72210d,かける,かける,kakeru,"to dial, to call, to sit down",45
269f524f-b2b2-4a26-8d12-b2107f459464,～だけ,～だけ,dake,"only, just",46
3b7f5e78-caf7-4b20-bd27-0aa9dfd3f649,かぶる,かぶる,kaburu,"to wear, to put on",47
fd9800fa-8622-44c9-bb5d-b4999b9c1485,どんな,どんな,donna,"what, what kind of",48
ad6cbba6-fe16-43b7-ad29-27ccc68a5c31,みんな,みんな,minna,"all, everyone, everybody",49
87bfe2e9-cca2-4cf6-82be-bd8a92380880,かばん,かばん,kaban,"bag, basket",50
29080f7e-c0ef-44e9-a796-fad915d8aba1,あっち,あっち,acchi,over there,51
5f6be34b-547a-4a68-af87-23b0bf9fbd57,～ずつ,～ずつ,zutsu,at a time,52
16d1ebee-5098-45a8-baa3-5e220334f236,ズボン,ズボン,zubon,pants,53
20d33ad2-0d32-4fee-9982-91d51f3f0c68,あちら,あちら,achira,this way,54
cd0fa3ec-423e-4785-8426-ed25b20ef90c,つける,つける,tsukeru,"to turn on, to take",55
31d1c0bb-6dd4-4118-b20b-1b787b7349e3,あそこ,あそこ,asoko,"there, over there, that place",56
50ed2dae-11c3-4cb1-a295-a21535fee1d9,あなた,あなた,anata,you,57
dfaafa0f-1cc6-486b-85b9-517f3890b52c,りっぱ,りっぱ,rippa,"splendid, fine",58
bbacd511-99c2-4172-829f-473e99d86238,できる,できる,dekiru,"to be able to, can do",59
84f18ec4-f257-4cfd-aa2f-6e01828bec40,たばこ,たばこ,tabako,"tobacco, cigarettes",60
33179646-1776-49b2-b02f-5305c3ebed0c,すぐに,すぐに,suguni,"immediately, soon",61
47633b07-810b-4929-8ede-a8ce1ebd4767,いいえ,いいえ,iie,"no, not at all",62
d04e91d3-543a-4ebc-82ff-9888c4fdf9c0,いかが,いかが,ikaga,"how, in what way",63
855b20f3-7195-4266-b493-07cdca343221,いくら,いくら,ikura,"how much, how many",64
66cb170c-1a44-4f25-970d-a407f4db9f36,いくつ,いくつ,ikutsu,"how many, how old",65
18971fdd-cdde-4cb3-8c8c-003b9a15c6c2,ネクタイ,ネクタイ,nekutai,"tie, necktie",66
313f91ec-3710-4c81-b8f6-14d9c146c7af,ちょっと,ちょっと,chotto,"a little, somewhat",67
ff729bd8-1c0f-4b83-a64c-cbe28ee0edcd,それでは,それでは,soredeha,"in that situation, well then",68
190d550f-f8b1-4357-9db9-5f9b126ac7c8,うるさい,うるさい,urusai,"noisy, annoying",69
2075bb61-51ae-470a-8529-9bb8f3563535,どうして,どうして,doushite,"why, for what reason",70
54967a93-c4e3-4536-a377-e7f07167f09d,まっすぐ,まっすぐ,massugu,"straight, direct",71
b3dcafd7-a38c-4769-ac47-324f3dbc8a46,にぎやか,にぎやか,nigiyaka,"bustling, busy",72
9f864215-7f61-4a57-973d-b80ff6f7aa02,おととし,おととし,ototoshi,year before last,73
30350e4b-7ddc-41d0-bd12-255aa5659d99,それから,それから,sorekara,"and then, after that",74
5572c61d-dd25-4269-9b71-d425289fc206,おじいさん,おじいさん,ojiisan,"grandfather, male senior citizen",75
eac58138-6635-4daa-9308-47a62888fee0,つまらない,つまらない,tsumaranai,"boring, dull, insignificant",76
9d609100-352a-40f7-8551-7e3825a564ef,ゆっくりと,ゆっくりと,yukkurito,"slowly, at ease",77
28cdce68-258c-4d22-943c-dbb326fd9777,おばあさん,おばあさん,obaasan,"grandmother, female senior-citizen",78
bca18ab7-61bf-468d-b26b-e73e2398b528,～個,こ,ko,"counter, counter for small items",79
1d68a1ec-ad3d-4738-a123-d4fb4d5ed676,おまわりさん,おまわりさん,omawarisan,"policeman, police",80
0b3f3a7d-2af5-4357-9d5c-54a81098bed0,～語,ご,go,"word, language",81
a8995d7a-86e3-4a77-97d5-c30f4b59d6a9,二,に,ni,two,82
3286a26c-bea9-445d-8dc1-5b1edb7bdfb1,歯,は,ha,tooth,83
5d8cb8b5-fab5-4a71-92ed-579f4796717e,九,く,ku,nine,84
764dc824-be22-43da-a531-2683d9cda7a1,木,き,ki,"tree, wood, timber",85
14e65493-4f8a-4d12-83c6-2a4f949f6431,戸,と,to,door,86
04ccd827-5080-4fa8-9505-12235e8ccff6,五,ご,go,five,87
af54b0e5-1821-4007-b045-790fc3486a88,いい; よい,いい; よい,ii; yoi,good,88
a0c8462c-d608-4491-b80a-2b8908fcaba4,絵,え,e,"painting, picture, drawing",89
8ad11651-a4f8-4487-9896-b0c90f13ca01,手,て,te,hand,90
